entity,type
双翼布局,机翼构型
双翼构型,机翼构型
单翼构型,机翼构型
上翼,结构部件
下翼,结构部件
固定机翼,结构部件
活动机翼,结构部件
连杆,结构部件
副翼,结构部件
内侧副翼,结构部件
外侧副翼,结构部件
机身,结构部件
尾翼,结构部件
张线,结构部件
支柱,结构部件
翼肋,结构部件
桁架式结构,概念
上下间距,设计参数
前后间距,设计参数
平均前后间距,设计参数
平均上下间距,设计参数
无量纲位置参数,设计参数
弦长,设计参数
平均弦长,设计参数
梢根比,设计参数
展弦比,设计参数
翼展比,设计参数
上反角,设计参数
安装角,设计参数
攻角,设计参数
有效攻角,设计参数
零升攻角,设计参数
失速攻角,设计参数
升力系数,设计参数
升力线斜率,设计参数
最大升力系数,设计参数
阻力系数,设计参数
零升阻力系数,设计参数
诱导阻力系数,设计参数
俯仰力矩,设计参数
俯仰力矩系数,设计参数
奥斯瓦尔德因子,设计参数
动压,设计参数
马赫数,设计参数
雷诺数,设计参数
翼展,设计参数
公转角度,设计参数
自转角度,设计参数
45%弦长,设计参数
25%弦长,设计参数
机翼面积,设计参数
升力,气动概念
阻力,气动概念
诱导阻力,气动概念
零升阻力,气动概念
摩擦阻力,气动概念
升力中心,气动概念
气动中心,气动概念
压力中心,气动概念
压力分布,气动概念
翼尖涡,气动概念
端板效应,气动概念
流动分离,气动概念
失速,气动概念
失速同步性,气动概念
非定常效应,气动概念
非定常气动力,气动概念
气动干扰,气动概念
展向流动,气动概念
展向升力分布,气动概念
弦向压力分布,气动概念
低压区,气动概念
高压区,气动概念
流场结构,气动概念
气流偏转,气动概念
等效攻角,气动概念
双翼整体弯度,气动概念
双翼升力线斜率,设计参数
双翼最大升力系数,设计参数
双翼零升攻角,设计参数
双翼失速攻角,设计参数
上翼实际攻角,设计参数
下翼实际攻角,设计参数
来流攻角,设计参数
翼根截面,概念
翼尖截面,概念
无量纲位置参数_翼根,设计参数
无量纲位置参数_翼尖,设计参数
上下机翼前缘,结构部件
上下机翼后缘,结构部件
机翼上表面,结构部件
机翼下表面,结构部件
流场,概念
背景网格,技术
嵌套网格,技术
嵌套网格区域,技术
网格量,设计参数
计算域,概念
对称面,概念
网格加密区,技术
网格无关性,概念
网格量_二维,设计参数
网格量_三维,设计参数
时间步长,设计参数
迭代次数,设计参数
定常计算步数,设计参数
初始流场,概念
收敛,概念
升力曲线,概念
阻力曲线,概念
力矩曲线,概念
升力变化幅度,设计参数
阻力变化幅度,设计参数
俯仰力矩变化,设计参数
升力系数变化,设计参数
阻力系数变化,设计参数
上翼上反角,设计参数
翼根处上下翼间距,设计参数
翼尖处上下翼间距,设计参数
平均翼间距,设计参数
无上反双翼,概念
有上反双翼,概念
单连杆构型,概念
双连杆构型,概念
连杆厚度,设计参数
连杆宽度,设计参数
连杆长度,设计参数
连杆重量,设计参数
连杆抗弯性能,性能指标
连杆抗扭性能,性能指标
连杆变形挠度,设计参数
连杆弯曲变形,概念
连杆扭转变形,概念
活动机翼攻角改变量,设计参数
活动机翼端面变形量,设计参数
活动机翼内侧端面,结构部件
活动机翼外侧端面,结构部件
固定机翼端面,结构部件
机翼端面对齐,概念
导向机构,结构部件
机翼固定锁定,概念
错位量,设计参数
活动碳管,结构部件
可移动碳纤维管,结构部件
直线作动器,结构部件
变体机构重量,设计参数
变体直接代价,概念
变体间接代价,概念
变体隐性代价,概念
变体重量代价,设计参数
变体空间代价,设计参数
U型槽,结构部件
U型槽厚度,设计参数
U型槽尺寸,设计参数
柔性蒙皮,结构部件
柔性蒙皮材料,材料
机翼开口,概念
机翼容积,设计参数
机翼空间,概念
连杆铰链,结构部件
固定机构,结构部件
锁定机构,结构部件
锁定机构重量,设计参数
副翼增重,设计参数
副翼面积,设计参数
副翼弦长占比,设计参数
副翼作动器,结构部件
副翼舵效,性能指标
副翼铰链力矩,设计参数
副翼上偏,控制方法
副翼下偏,控制方法
副翼差动偏转,控制方法
活动机翼公转,概念
活动机翼自转,概念
公转角,设计参数
自转角,设计参数
公转角速度,设计参数
自转角速度,设计参数
公转控制,概念
自转控制,概念
解耦控制,控制方法
