head,relation,tail
双翼布局,instance_of,机翼构型
双翼构型,instance_of,机翼构型
单翼构型,instance_of,机翼构型
上翼,instance_of,结构部件
下翼,instance_of,结构部件
固定机翼,instance_of,结构部件
活动机翼,instance_of,结构部件
连杆,instance_of,结构部件
副翼,instance_of,结构部件
内侧副翼,instance_of,结构部件
外侧副翼,instance_of,结构部件
机身,instance_of,结构部件
尾翼,instance_of,结构部件
张线,instance_of,结构部件
支柱,instance_of,结构部件
翼肋,instance_of,结构部件
桁架式结构,instance_of,概念
上下间距,instance_of,设计参数
前后间距,instance_of,设计参数
平均前后间距,instance_of,设计参数
平均上下间距,instance_of,设计参数
无量纲位置参数,instance_of,设计参数
弦长,instance_of,设计参数
平均弦长,instance_of,设计参数
梢根比,instance_of,设计参数
展弦比,instance_of,设计参数
翼展比,instance_of,设计参数
上反角,instance_of,设计参数
安装角,instance_of,设计参数
攻角,instance_of,设计参数
有效攻角,instance_of,设计参数
零升攻角,instance_of,设计参数
失速攻角,instance_of,设计参数
升力系数,instance_of,设计参数
升力线斜率,instance_of,设计参数
最大升力系数,instance_of,设计参数
阻力系数,instance_of,设计参数
零升阻力系数,instance_of,设计参数
诱导阻力系数,instance_of,设计参数
俯仰力矩,instance_of,设计参数
俯仰力矩系数,instance_of,设计参数
奥斯瓦尔德因子,instance_of,设计参数
动压,instance_of,设计参数
马赫数,instance_of,设计参数
雷诺数,instance_of,设计参数
翼展,instance_of,设计参数
45%弦长,instance_of,设计参数
25%弦长,instance_of,设计参数
机翼面积,instance_of,设计参数
升力,instance_of,气动概念
阻力,instance_of,气动概念
诱导阻力,instance_of,气动概念
零升阻力,instance_of,气动概念
摩擦阻力,instance_of,气动概念
升力中心,instance_of,气动概念
气动中心,instance_of,气动概念
压力中心,instance_of,气动概念
压力分布,instance_of,气动概念
翼尖涡,instance_of,气动概念
端板效应,instance_of,气动概念
流动分离,instance_of,气动概念
失速,instance_of,气动概念
失速同步性,instance_of,气动概念
非定常效应,instance_of,气动概念
非定常气动力,instance_of,气动概念
气动干扰,instance_of,气动概念
展向流动,instance_of,气动概念
展向升力分布,instance_of,气动概念
弦向压力分布,instance_of,气动概念
低压区,instance_of,气动概念
高压区,instance_of,气动概念
流场结构,instance_of,气动概念
气流偏转,instance_of,气动概念
等效攻角,instance_of,气动概念
双翼整体弯度,instance_of,气动概念
RANS方法,instance_of,技术
SST湍流模型,instance_of,技术
CFD,instance_of,技术
计算流体动力学,instance_of,技术
嵌套网格,instance_of,技术
重叠网格,instance_of,技术
URANS方法,instance_of,技术
定常计算,instance_of,技术
非定常计算,instance_of,技术
二维重叠网格,instance_of,技术
三维重叠网格,instance_of,技术
背景网格,instance_of,技术
结构化六面体网格,instance_of,技术
普朗特,instance_of,人物
芒克,instance_of,人物
Laitone,instance_of,人物
Addoms,instance_of,人物
Prosnak,instance_of,人物
Ahmed,instance_of,人物
陈海昕,instance_of,人物
NACA2412,instance_of,翼型
NACA0012,instance_of,翼型
Boeing106,instance_of,翼型
矩形翼,instance_of,机翼形状
梯形翼,instance_of,机翼形状
平直机翼,instance_of,机翼形状
