head,relation,tail
单-双折叠翼变体飞机,is_a,变体飞行器
单-双折叠翼变体飞机,has_part,单翼
单-双折叠翼变体飞机,has_part,双翼
单-双折叠翼变体飞机,has_part,副翼
单-双折叠翼变体飞机,has_part,气动舵面
单-双折叠翼变体飞机,driven_by,气动力
气动舵面,generates,气动力
副翼,part_of,气动舵面
单翼,transforms_to,双翼
双翼,transforms_to,单翼
单翼模式,is_a,常规布局
单-双折叠翼飞机,has_part,单翼模式
双翼布局,has_part,气动特性
双翼布局,needs,解决
双翼布局,is_a,布局
双翼布局,contains,二维弦向气动特性
双翼布局,contains,三维展向气动特性
双翼布局,generates,气动设计规律
双翼布局,generates,设计准则
单-双折叠翼变体飞行器,has_part,变体过程
变体过程,contains,非定常效应
非定常效应,affects,气动稳定性
副翼特性,contains,副翼偏转
副翼偏转,affects,机翼升力
单-双折叠翼飞机,affects,空气动力学特性
单-双折叠翼变体,affects,气动规律
单-双折叠翼变体飞机,provides,总体方案设计
单-双折叠翼变体飞机,provides,结构设计
单-双折叠翼变体飞机,provides,动力学
单-双折叠翼变体飞机,provides,控制设计
单-双折叠翼变体飞机,leads_to,单-双折叠翼变体飞机设计方法
空气动力学特性,part_of,气动规律
总体方案设计,part_of,单-双折叠翼变体飞机设计方法
结构设计,part_of,单-双折叠翼变体飞机设计方法
动力学,part_of,单-双折叠翼变体飞机设计方法
控制设计,part_of,单-双折叠翼变体飞机设计方法
研究背景,part_of,4.2.1
研究方法,part_of,4.2.1
研究背景,connected_to,研究方法
4.2.1,contains,研究背景
4.2.1,contains,研究方法
双翼飞机,defined_as,上下布置有两幅机翼的飞机
机翼的结构和蒙皮,used_for,木材
机翼的结构和蒙皮,used_for,蒙布
上下双翼式的设计,applied_to,提高机翼的强度
上下双翼式的设计,applied_to,获得足够大的机翼面积
早期双翼机,has_part,张线
早期双翼机,has_part,支柱
张线和支柱,enables,机翼组成桁架式结构
桁架式结构,increases,结构强度
双翼机,is_a,飞机
双翼机,located_at,二十世纪三十年代前
双翼机,reduces,气动效率
双翼之间的气动干扰,causes,额外阻力
支柱等结构,causes,额外阻力
高强度铝合金材料,enables,双翼机逐步被单翼机取代
普朗特,develops,双翼气动理论
芒克,develops,双翼气动理论
薄翼理论,used_for,双翼气动理论
升力线理论,used_for,双翼气动理论
双翼气动理论,develops,升力计算方法
双翼气动理论,develops,诱导阻力计算方法
Addoms,develops,高性能双翼研究
Prosnak,uses_method,势流理论
串列双翼布局,is_a,双翼布局
双翼机,is_a,飞行器
双翼机,needs,更明确的进一步研究
双翼布局,needs,更明确的进一步研究
双翼机,has_part,双翼布局
普朗特,developed_by,早期双翼理论
芒克,developed_by,早期双翼理论
早期双翼理论,depends_on,展弦比
早期双翼理论,depends_on,梢根比
双翼机,affects,气动性能
双翼布局,affects,气动性能
新概念布局,affects,双翼机
升力线理论,used_for,双翼构型
双翼理论,used_for,双翼构型
双翼构型,applies_to,气动力
气动力,part_of,双翼布局气动设计方法
双翼,applies_to,空气动力学
早期双翼理论,defined_as,二维双翼构型的主要平面参数
二维双翼构型的主要平面参数,has_part,上翼的弦长和翼型
二维双翼构型的主要平面参数,has_part,下翼的弦长和翼型
二维双翼构型的主要平面参数,has_part,上翼相对于下翼的安装角
二维双翼构型的主要平面参数,has_part,两个机翼的上下间距
二维双翼构型的主要平面参数,has_part,两个机翼前缘的前后间距
两个机翼的上下间距,defined_as,Gap
两个机翼前缘的前后间距,defined_as,Stagger
普朗特和芒克,developed_by,早期双翼理论
上下机翼,defined_as,平均前后间距和平均上下间距
平均前后间距,defined_as,上下机翼几何中心的前后间距除以平均弦长
平均上下间距,defined_as,上下机翼几何中心的上下间距除以平均弦长
上下机翼几何中心的前后间距,depends_on,平均弦长
上下机翼几何中心的上下间距,depends_on,平均弦长
平均前后间距,affects,双翼气动特性
平均上下间距,affects,双翼气动特性
上下机翼,has_part,上机翼
上下机翼,has_part,下机翼
上机翼,part_of,上下机翼
下机翼,part_of,上下机翼
双翼气动特性,depends_on,上下机翼的相对位置关系
上下机翼的相对位置关系,defined_as,平均前后间距和平均上下间距
二维翼型,has_part,升力线斜率
二维翼型,has_part,零升攻角
二维翼型,has_part,最大升力系数
二维翼型,has_part,失速攻角
升力曲线,has_part,升力线斜率
升力曲线,has_part,零升攻角
升力曲线,has_part,最大升力系数
升力曲线,has_part,失速攻角
二维双翼,has_part,升力线斜率
二维双翼,has_part,零升攻角
二维双翼,has_part,最大升力系数
二维双翼,has_part,失速攻角
二维双翼,applies_to,数值计算
计算双翼的升力和阻力系数,uses_method,参考弦长/面积按上下机翼总弦长/总面积计算
双翼,defined_as,展弦比相同的两块机翼
展弦比,defined_as,总面积除以两倍平均弦长的平方
展弦比,equals_to,翼展平方除以两倍总面积
上下机翼的位置关系,affects,双翼气动性能
上机翼,part_of,双翼
下机翼,part_of,双翼
上机翼和下机翼的相对位置,defined_as,双翼的最主要设计参数
双翼构型,contains,上机翼
双翼构型,contains,下机翼
上下机翼之间的流场,affects,机翼的气动性能
两个机翼的相对位置,affects,双翼间的流场结构
双翼间的流场结构,affects,机翼的气动性能
普朗特,uses_method,薄翼理论
普朗特,uses_method,升力线理论
芒克,uses_method,薄翼理论
芒克,uses_method,升力线理论
薄翼理论,used_for,计算上下机翼之间的相互作用
升力线理论,used_for,计算上下机翼之间的相互作用
普朗特和芒克等人,develops,双翼的设计
双翼,has_part,上机翼
双翼,has_part,下机翼
上机翼,equals_to,下机翼
双翼,uses_method,计算流体力学方法
双翼,uses_method,RANS方法
RANS方法,uses_method,二阶SST湍流模型
来流马赫数,equals_to,0.4
雷诺数,equals_to,300万
上机翼,instance_of,NACA2412翼型
下机翼,instance_of,NACA2412翼型
上机翼,located_at,重叠网格
下机翼,located_at,背景网格
重叠网格,contains,上机翼
上机翼,located_at,下机翼斜前方
上机翼,affects,双翼整体的零升攻角
下机翼,affects,双翼整体的零升攻角
上机翼,located_at,下机翼正上方
上机翼,located_at,下机翼斜后方
上机翼,located_at,下机翼前方
上机翼,located_at,下机翼后方
上机翼,reduces,零升攻角
下机翼,increases,零升攻角
上机翼,increases,双翼整体的弯度
下机翼,reduces,双翼整体的弯度
双翼整体的弯度,affects,零升攻角
上机翼,affects,下机翼的零升攻角
上机翼,affects,升力线斜率
下机翼,affects,升力线斜率
双翼的升力线斜率,depends_on,上机翼和下机翼的距离
上机翼和下机翼的距离,increases,双翼的升力线斜率
上翼位于下翼正前方,reduces,双翼的升力线斜率
双翼的升力线斜率,equals_to,单翼状态下的60%左右
上机翼,affects,上机翼的升力线斜率
下机翼,affects,下机翼的升力线斜率
上机翼在下机翼前方1倍弦长左右位置,increases,上机翼的升力线斜率
上机翼在下机翼前方1倍弦长左右位置,reduces,下机翼的升力线斜率
上下翼间距1倍弦长以内,affects,上机翼的升力线斜率
上下翼间距1倍弦长以内,affects,下机翼的升力线斜率
上机翼处于下机翼后方1倍弦长左右位置,increases,下机翼的升力线斜率
上机翼处于下机翼后方1倍弦长左右位置,reduces,上机翼升力线斜率
上机翼下表面,generates,高压区
下机翼上表面,generates,低压区
高压区,affects,低压区
上机翼和下机翼距离,reduces,升力线斜率
上机翼,located_at,下机翼前方一倍弦长左右位置
上机翼与下机翼的前后距离,affects,最大升力系数
上下间距,affects,最大升力系数
上机翼与下机翼的前后距离,affects,失速攻角
上下间距,affects,失速攻角
上机翼,affects,最大升力系数
下机翼,affects,最大升力系数
上机翼,affects,失速攻角
下机翼,affects,失速攻角
双翼整体的最大升力系数,less_than,单翼构型
上机翼与下机翼的前后距离,equals_to,-0.5到1.5倍弦长
上下间距,equals_to,1倍弦长以内
下机翼,affects,实际攻角减小
上机翼在前,leads_to,失速提前
下机翼,affects,先接触到来流
上机翼和下机翼距离过近,leads_to,失速提前
后失速的机翼,located_at,流动分离区
双翼,less_than,常规单翼
最大升力系数,less_than,常规单翼
最大升力系数,reduces,损失
损失的最大升力系数,less_than,损失的升力系数
双翼,affects,失速同步性
双翼同步失速,leads_to,不利于失速后飞机的控制
双翼不同步失速,leads_to,飞机过于容易发生失速
失速攻角相差很大,leads_to,飞机过于容易发生失速
失速同步性,affects,飞行器设计
飞行器设计,needs,权衡两方面
上下机翼的弦长大小,affects,双翼气动性能
上机翼,greater_than,下机翼
上机翼,part_of,双翼飞机
下机翼,part_of,双翼飞机
上机翼,instance_of,活动机翼
下机翼,instance_of,固定机翼
双翼气动特性,depends_on,上机翼弦长
单-双折叠翼变体飞机,has_part,上机翼
单-双折叠翼变体飞机,has_part,下机翼
上机翼的弦长,greater_than,下翼弦长
上机翼的弦长,less_than,下翼弦长
下机翼的弦长,equals_to,弦长
上翼弦长,greater_than,下翼弦长
上翼弦长,less_than,下翼弦长
167组,instance_of,双翼
数值计算,applied_to,双翼
上机翼弦长,greater_than,下机翼弦长
下机翼弦长,greater_than,上机翼弦长
气动性能,equivalent_to,相同无量纲位置参数、上下翼弦长相等的双翼
双翼,contains,上机翼
双翼,contains,下机翼
上机翼弦长,equals_to,下机翼弦长
无量纲位置参数,affects,气动性能
上机翼弦长,affects,气动性能
下机翼弦长,affects,气动性能
上下机翼的不同弯度,affects,双翼气动性能
上机翼,contains,正弯度
下机翼,contains,无弯度
上机翼,connected_to,下机翼
单-双折叠翼变体飞行器,has_part,大展弦比单翼构型
单-双折叠翼变体飞行器,has_part,双翼构型
大展弦比单翼构型,uses_method,翼尖负担转角
翼尖负担转角,applied_to,大展弦比单翼构型
上机翼,less_than,下机翼
双翼,needs,研究
上机翼,contains,NACA2412翼型
下机翼,contains,NACA0012翼型
上机翼,has_part,弦长1m
下机翼,has_part,弦长1m
上机翼,transforms_to,下机翼
下机翼,transforms_to,上机翼
上机翼弯度,affects,双翼
二维双翼的空气动力学特性变化规律,applies_to,上下机翼弯度相同时的情形
上下机翼弯度不相等,affects,二维双翼的空气动力学特性变化规律
上下机翼弯度相同时的情形,affects,二维双翼的空气动力学特性变化规律
二维双翼的空气动力学特性变化规律,approximately,基本保持一致
上机翼位于下机翼前方,affects,双翼的整体弯度
双翼的整体弯度,increases,零升攻角提前
上机翼位于下机翼正上方,affects,双翼的零升攻角
双翼的零升攻角,approximately,基本不变
上机翼位于下机翼后方,affects,双翼的整体弯度
双翼的整体弯度,reduces,零升攻角滞后
上下机翼的相互干扰,reduces,双翼损失一部分升力线斜率
损失的升力线斜率,increases,上机翼和下机翼间距的增加
双翼的升力线斜率,approximately,一个近似公式
双翼升力线斜率,depends_on,相同翼型的单翼升力线斜率
双翼升力线斜率,depends_on,无量纲位置参数
上下机翼间的相互干扰,affects,最大升力系数
上下机翼间的相互干扰,reduces,最大升力系数
损失的升力系数,depends_on,上下翼间距
上下翼间距,increases,损失的升力系数
上机翼位于下机翼前方,leads_to,升力系数损失相对较小
上机翼位于下机翼正上方,leads_to,升力系数损失相对较大
上下机翼弦长不相等的双翼,equivalent_to,上下翼弦长相等的双翼
上机翼弦长,less_than,下机翼弦长
单-双折叠翼变体飞行器,provides,指导
上机翼,located_at,下机翼的前方
双翼的流场,is_a,较为简单
双翼的流场结构,is_a,较为复杂
机翼,applies_to,无后掠角的设计
机翼,applies_to,后掠的设计
上机翼,part_of,单-双折叠翼变体飞行器
下机翼,part_of,单-双折叠翼变体飞行器
上机翼,defined_as,活动机翼
下机翼,defined_as,固定机翼
上下机翼的相对位置,depends_on,不同的截面内
双翼的流场结构,leads_to,较为复杂
双翼的流场结构,affects,设计中应慎重考虑
上下机翼的间距,affects,双翼之间的气动干扰
双翼之间的气动干扰,reduces,双翼的升力系数
上下机翼的间距,affects,机翼在机身上的布置
双翼的飞行性能,depends_on,上下机翼的间距
上下机翼的间距,greater_than,1倍弦长
上下机翼的间距,approximately,1倍弦长
机翼的安装,affects,上下机翼的间距
重心的变化,affects,上下机翼的间距
双翼布局,contains,上下机翼的梢根比
双翼布局,contains,后掠角
双翼布局,contains,上下机翼的长度关系
上下机翼的梢根比,defined_as,设计参数
后掠角,defined_as,设计参数
上下机翼的长度关系,defined_as,设计参数
机翼的二维平面形状,part_of,飞行器的空气动力学设计
二维气动特性,part_of,飞行器的空气动力学设计
机翼的三维流动特性,needs,了解
飞机的三维平面形状,needs,设计
设计参数,discussed_in,本节
上下机翼,affects,机翼展向气动特性
二维翼型,defined_as,零升攻角
二维翼型,defined_as,升力线斜率
二维翼型,defined_as,最大升力系数
零升攻角,part_of,完整升力曲线
升力线斜率,part_of,完整升力曲线
最大升力系数,part_of,完整升力曲线
三维机翼,needs,机翼弦向的压力分布
三维机翼,needs,机翼展向的升力分布
诱导阻力系数,depends_on,展弦比
诱导阻力系数,depends_on,奥斯瓦尔德因子
展弦比,defined_as,简单几何参数
奥斯瓦尔德因子,affects,诱导阻力
诱导阻力,enables,展向流动特性
本节,applies_to,奥斯瓦尔德因子
大展弦比平直机翼,depends_on,梢根比
梢根比,approximately,0.3-0.4
梢根比,affects,奥斯瓦尔德因子
机翼,has_part,梢根比
升力分布,approximately,椭圆形分布
梢根比,greater_than,0.4
梢根比,less_than,0.3
奥斯瓦尔德因子,reduces,梢根比过大
构型1,has_part,上下机翼
构型2,has_part,上下机翼
构型3,has_part,双翼
构型1,defined_as,展弦比10的矩形机翼
构型2,defined_as,梢根比0.4、展弦比10的梯形翼
构型3,defined_as,梢根比0.4，展弦比20的单翼折叠后形成的双翼
构型1,instance_of,双翼几何
构型2,instance_of,双翼几何
构型3,instance_of,双翼几何
平均弦长,equals_to,1m
翼型,equals_to,NACA2412翼型
构型3,transformed_from,单翼
外流场,located_at,背景网格
周围流场,located_at,重叠网格
重叠网格,enables,移动
上机翼,driven_by,重叠网格的移动
上机翼,located_at,相对位置
下机翼,located_at,相对位置
前后间距,equals_to,-1到1倍机翼弦长
上下间距,equals_to,0.5到1.5倍机翼弦长
总网格量,equals_to,2000万
高度,equals_to,3km
三个构型的双翼,contains,奥斯瓦尔德因子
奥斯瓦尔德因子,approximately,0.5
上下机翼间距,affects,奥斯瓦尔德因子
机翼上下间距,increases,奥斯瓦尔德因子
奥斯瓦尔德因子,approximately,0.6
梢根比,affects,双翼奥斯瓦尔德因子
梢根比,affects,机翼展向流动
常规单翼,is_a,机翼
矩形翼,is_a,机翼
梯形翼,is_a,机翼
机翼为矩形翼时,affects,升力分布接近为矩形
升力分布接近为矩形,reduces,奥斯瓦尔德因子
机翼为带有较小梢根比的梯形翼时,increases,翼根的弦长和升力
机翼为带有较小梢根比的梯形翼时,reduces,翼尖的弦长和升力
机翼的升力分布更接近于椭圆形,increases,奥斯瓦尔德因子
奥斯瓦尔德因子,reduces,诱导阻力
翼根的弦长增加,reduces,翼根截面的无量纲位置参数
翼根截面的无量纲位置参数减小,increases,因上下机翼相互干扰而损失的升力
翼尖的弦长减小,increases,翼尖部分的量纲位置参数
翼尖部分的量纲位置参数增加,reduces,因上下机翼相互干扰而损失的升力
增加上机翼和下机翼的间距,increases,双翼的奥斯瓦尔德因子
双翼的奥斯瓦尔德因子,reduces,诱导阻力
单-双折叠翼变体飞行器,contains,上机翼
单-双折叠翼变体飞行器,contains,下机翼
上下机翼间距,approximately,1倍平均弦长
