head,relation,tail
上下机翼,affects,使用
上下机翼,affects,无量纲量
上下机翼,affects,设计参数
上机翼,affects,翼根处上下翼间距
下机翼,affects,上机翼
下机翼,affects,增大
下机翼,affects,实际攻角
二维双翼,affects,双翼
二维双翼,affects,双翼气动
二维双翼,affects,流场结构
代价,affects,单-双折叠翼变体飞机
位置,affects,设计参数
位置关系,affects,使用
位置关系,affects,无量纲量
侵占,affects,变体
侵占,affects,机构
侵占,affects,航程
侵占,affects,飞机
俯仰,affects,控制范围
俯仰,affects,飞机操稳系统
俯仰力矩,affects,飞机
俯仰安定性,affects,活动机翼
偏航,affects,控制范围
偏航,affects,飞机操稳系统
偏航力矩,affects,飞机
几何尺寸,affects,变体
几何尺寸,affects,可行性
几何尺寸,affects,折叠翼
几何尺寸,affects,概念
前时,affects,上机翼
前时,affects,实际攻角
升力,affects,1倍
升力,affects,弦长
升力,affects,翼根处上下翼间距
升力线斜率,affects,上机翼
升力线斜率,affects,下机翼
升力线斜率,affects,增强
升力线斜率,affects,距离
单翼,affects,增大
单翼,affects,大展弦
单翼,affects,诱导阻力
单翼构型,affects,活动机翼
压力中心,affects,变体过程
压力中心,affects,活动机翼
压力中心,affects,自转
压力中心,affects,飞机
参数,affects,升阻
参数,affects,气动力驱动变体
参数,affects,规律
参数,affects,阻力特性
参数,affects,飞机
双翼,affects,1倍
双翼,affects,双翼构型
双翼,affects,梢根比
双翼,affects,翼根处上下翼间距
双翼,affects,节中
双翼,affects,设计参数
双翼气动性能,affects,双翼
双翼气动性能,affects,双翼气动
双翼气动性能,affects,机翼
双翼气动性能,affects,机翼升力
双翼气动性能,affects,流场结构
双翼气动性能,affects,等效原则
双翼气动性能,affects,设计
双翼气动性能,affects,连杆
双翼气动性能,affects,阻力
双翼气动特性,affects,使用
双翼气动特性,affects,增大
双翼气动特性,affects,大展弦
双翼气动特性,affects,提升
双翼气动特性,affects,无量纲量
双翼气动特性,affects,诱导阻力
变体,affects,一侧
变体,affects,关注
变体,affects,单-双折叠翼变体飞机
变体,affects,原理验证机
变体,affects,双翼构型
变体,affects,变体过程
变体,affects,失效安全性
变体,affects,控制范围
变体,affects,气动力驱动变体
变体,affects,气动舵面
变体,affects,活动机翼
变体,affects,设计
变体,affects,非定常气动力
变体,affects,飞机
变体,affects,飞机操稳系统
变体,affects,飞行测试
变化情况,affects,俯仰安定性
变化情况,affects,变体过程
变化情况,affects,活动机翼
变化情况,affects,飞机
变形,affects,变体
变形,affects,增强
固定,affects,上翼
固定,affects,固定机翼
固定,affects,活动机翼
失效,affects,飞机
展向,affects,活动机翼
展向,affects,自转
展向流动,affects,双翼构型
展向流动,affects,梢根比
展向流动,affects,飞机
展弦比,affects,增大
展弦比,affects,大展弦
平面外形设计,affects,气动力驱动变体
平面设计参数,affects,副翼
平面设计参数,affects,设计
弦长,affects,双翼
弯度,affects,双翼
弯度,affects,流场结构
弯矩,affects,变体
弯矩,affects,机构
弯矩,affects,机翼结构
总的来看,affects,机翼
总的来看,affects,阻力
扭矩,affects,变体
扭矩,affects,安全
扭矩,affects,机构
扭矩,affects,机翼结构
扭转角,affects,副翼
扭转角,affects,活动机翼
扭转角,affects,设计
扭转角,affects,飞机
扰动力,affects,方向舵
扰动力,affects,舵面
扰动力,affects,飞机
扰动力矩,affects,偏转
扰动力矩,affects,变体
扰动力矩,affects,折叠翼
扰动力矩,affects,控制范围
扰动力矩,affects,方向舵
扰动力矩,affects,机翼
扰动力矩,affects,舵面
扰动力矩,affects,飞机
折叠翼,affects,气动力驱动变体
折叠翼,affects,气动舵面
折叠翼,affects,飞机
控制力矩,affects,控制范围
控制力矩,affects,飞机操稳系统
控制方法,affects,变体
控制方法,affects,失效安全性
攻角,affects,变体
攻角,affects,增强
攻角,affects,控制
攻角,affects,难度
效应,affects,关注
效应,affects,变体过程
效应,affects,非定常气动力
整体,affects,上机翼
整体,affects,下机翼
整体,affects,距离
无人机,affects,折叠翼
无量纲量,affects,上下翼间距
无量纲量,affects,双翼
无量纲量,affects,损失
无量纲量,affects,整体
机构,affects,变体
机构,affects,航程
机构,affects,飞机
机翼,affects,上机翼
机翼,affects,下机翼
机翼,affects,副翼
机翼,affects,变体
机翼,affects,尺寸
机翼,affects,机构
机翼,affects,机翼连接处
机翼,affects,流动分离
机翼,affects,设计
机翼,affects,连杆
机翼,affects,飞机
机翼升力,affects,机翼
机翼升力,affects,机翼连接处
机翼升力,affects,连杆
机翼升力,affects,阻力
机翼弦向,affects,变体过程
机翼结构方案,affects,变体
机翼结构方案,affects,尺寸
机翼结构方案,affects,机构
机翼结构方案,affects,重量代价
机身,affects,固定
机身,affects,活动机翼
梢根比,affects,副翼
梢根比,affects,飞机
气动中心,affects,俯仰安定性
气动中心,affects,变体过程
气动中心,affects,飞机
气动力,affects,变体
气动力矩,affects,变体
气动弹性,affects,关注
气动弹性,affects,变体过程
气动性能,affects,设计参数
气动特性,affects,升阻
气动特性,affects,节中
气动特性,affects,规律
气动特性,affects,阻力特性
活动机翼,affects,变体
活动机翼,affects,增强
活动机翼,affects,控制
活动机翼,affects,自转
流场,affects,上机翼
流场,affects,增大
流场,affects,失速
流场,affects,实际攻角
滚转力矩,affects,飞机
空间尺寸,affects,单-双折叠翼变体飞机
端面,affects,活动机翼
翼展,affects,上翼
翼展,affects,活动机翼
考量,affects,节中
范围,affects,发动机
范围,affects,路径
规律,affects,升阻
规律,affects,阻力特性
设计参数,affects,单-双折叠翼变体飞机
设计参数,affects,双翼气动
设计参数,affects,双翼气动性能
设计参数,affects,变体
设计参数,affects,总体方案设计
设计参数,affects,收益代价
设计参数,affects,等效原则
诱导阻力,affects,双翼构型
诱导阻力,affects,梢根比
诱导阻力,affects,气动性能
诱导阻力,affects,飞机
连杆,affects,单翼构型
连杆,affects,双翼构型
连杆,affects,变体
连杆,affects,增强
连杆,affects,折叠翼
连杆,affects,机翼
连杆,affects,机翼升力
连杆,affects,节中
连杆,affects,阻力
连杆,affects,零升阻力
重量,affects,变体
重量,affects,折叠翼
重量,affects,概念
错位,affects,固定
错位,affects,活动机翼
错位,affects,活动机翼内侧
错位,affects,锁定
间断位置,affects,上翼
间断位置,affects,下翼
间断位置,affects,固定机翼
间断位置,affects,活动机翼
阻力,affects,单翼构型
阻力,affects,双翼构型
阻力,affects,变体
阻力,affects,机构
阻力,affects,机翼
阻力,affects,机翼连接处
阻力,affects,流动分离
阻力,affects,连杆
阻力,affects,零升阻力
阻力,affects,飞行器设计
阻力特性,affects,1倍
阻力特性,affects,弦长
阻力特性,affects,翼尖处
阻力特性,affects,翼根处上下翼间距
飞机,affects,控制范围
飞机,affects,飞机操稳系统
飞机几何外形设计,affects,几何外形参数
飞机几何外形设计,affects,改变
飞机几何外形设计,affects,设计规律
飞机几何外形设计,affects,飞机
飞机操稳特性,affects,变体
飞机操稳特性,affects,失效安全性
飞机油箱,affects,变体
飞机油箱,affects,航程
飞机油箱,affects,飞机
飞机稳定性,affects,控制范围
飞机稳定性,affects,舵面
飞机稳定性,affects,解耦
飞机稳定性,affects,飞机
飞机飞行,affects,变体
飞机飞行,affects,失效安全性
飞机飞行,affects,折叠翼
飞行器设计,affects,升阻
飞行器设计,affects,规律
飞行稳定性,affects,偏转
飞行稳定性,affects,副翼下偏
飞行稳定性,affects,单-双折叠翼变体飞机
飞行稳定性,affects,双翼构型
飞行稳定性,affects,变体
飞行稳定性,affects,失效安全性
飞行稳定性,affects,折叠翼
飞行稳定性,affects,方向舵
飞行稳定性,affects,机翼
飞行稳定性,affects,气动负载
飞行稳定性,affects,活动机翼
1980年,applied_to,双翼布局
Laitone,applied_to,双翼布局
双翼理论,applied_to,双翼布局
普朗特,applied_to,双翼布局
25%,causes,气动力
上下机翼间距,causes,前后
上下机翼间距,causes,变体
上下机翼间距,causes,重心
上下机翼间距,causes,飞机
下机翼,causes,展弦比
两点,causes,下降
两点,causes,最大升力系数
两点,causes,飞机
两点,causes,飞行马赫数
传递,causes,扭矩
位置,causes,45%
位置,causes,弦长
位置,causes,气动力
低压区,causes,下降
低压区,causes,升力
低压区,causes,原因
作用中心,causes,俯仰力矩
作用中心,causes,机翼
使用,causes,干扰
偏转角度,causes,失速
偏转角度,causes,机翼
前缘,causes,下降
前缘,causes,升力
副翼,causes,失速
副翼,causes,机翼
副翼偏转,causes,45%
副翼偏转,causes,位置
副翼偏转,causes,俯仰力矩
副翼偏转,causes,弦长
副翼偏转,causes,改变
副翼偏转,causes,攻角
副翼偏转,causes,机翼
副翼偏转,causes,气动力
力矩,causes,变形
力矩,causes,幅度
力矩,causes,结构破坏
力矩,causes,连杆
包线,causes,飞机
升力,causes,失速
单翼位置,causes,变形
单翼位置,causes,整体
单翼位置,causes,活动机翼
单翼位置,causes,连杆
受力,causes,变形
变体,causes,单-双折叠翼变体飞行器
变体,causes,变形
变体,causes,干扰
变体,causes,连杆
变体过程,causes,俯仰力矩
变形,causes,活动机翼
变形,causes,结构破坏
同时,causes,俯仰力矩
同时,causes,前后
同时,causes,变体
同时,causes,攻角
同时,causes,机翼
同时,causes,涡流
同时,causes,环境
同时,causes,试验
同时,causes,车载试验
同时,causes,飞机
固定,causes,俯仰力矩
增强,causes,同时
增强,causes,增大
增强,causes,流动分离
安放,causes,开口
安放,causes,措施
安放,causes,机翼
小部分,causes,展弦比
尾流,causes,单-双折叠翼变体飞行器
尾流,causes,干扰
展弦比,causes,机翼结构重量
展弦比,causes,飞机
幅度,causes,结构破坏
干扰,causes,展弦比
弦长,causes,45%
弦长,causes,气动力
弯矩,causes,有效载荷
弯矩,causes,机翼结构重量
弯矩,causes,燃油携带
弯矩,causes,飞机
强度,causes,结构破坏
形式,causes,幅度
形式,causes,连杆
扭矩,causes,连杆
扭转,causes,变形
扭转,causes,改变
扭转,causes,攻角
扭转,causes,整体
扭转,causes,水平面内
扭转,causes,活动机翼
抗扭性能,causes,同时
抗扭性能,causes,增大
抗扭性能,causes,机翼
抗扭性能,causes,流动分离
控制,causes,困难
控制,causes,失控
控制,causes,飞机
提升,causes,流动分离
摩擦阻力,causes,同时
摩擦阻力,causes,含连杆构型
摩擦阻力,causes,流动分离
改变,causes,俯仰力矩
改变,causes,活动机翼
改变,causes,连接点
改变,causes,连杆
攻角,causes,俯仰力矩
攻角,causes,活动机翼
攻角,causes,连杆
