head,relation,tail
%变展长能力,co_occurs_with,变体
%变展长能力,co_occurs_with,同时
%变展长能力,co_occurs_with,控制
%变展长能力,co_occurs_with,方面代价
%变展长能力,co_occurs_with,气动力驱动变体
%变展长能力,co_occurs_with,重量成本
0.005秒,co_occurs_with,定常计算
0.005秒,co_occurs_with,时间
0.005秒,co_occurs_with,构型
0.005秒,co_occurs_with,非定
0.05米,co_occurs_with,内侧端面
0.05米,co_occurs_with,单翼状态
0.05米,co_occurs_with,变形量
0.05米,co_occurs_with,活动机翼
0.072m,co_occurs_with,应力
0.072m,co_occurs_with,弯矩
0.072m,co_occurs_with,扭矩作用
0.072m,co_occurs_with,连杆
0.12m,co_occurs_with,安装
0.12m,co_occurs_with,机身顶部
0.12m,co_occurs_with,桁架
0.12m,co_occurs_with,碳纤维
0.2%,co_occurs_with,计算
0.2m,co_occurs_with,位置
0.2m,co_occurs_with,使用
0.2m,co_occurs_with,升降舵
0.2m,co_occurs_with,翼型
0.2秒,co_occurs_with,原因
0.2秒,co_occurs_with,小幅度
0.2秒,co_occurs_with,目前
0.2秒,co_occurs_with,研究工作
0.3m,co_occurs_with,0.2m
0.3m,co_occurs_with,70%弦长处
0.3m,co_occurs_with,上翼
0.3m,co_occurs_with,下翼
0.3m,co_occurs_with,位置
0.3m,co_occurs_with,使用
0.3m,co_occurs_with,单翼状态
0.3m,co_occurs_with,固定机翼
0.3m,co_occurs_with,展弦比
0.3m,co_occurs_with,弦长
0.3m,co_occurs_with,方向舵
0.3m,co_occurs_with,活动机翼
0.3m,co_occurs_with,翼型
0.4m,co_occurs_with,0.3m
0.4m,co_occurs_with,位置
0.4m,co_occurs_with,弦长
0.4m,co_occurs_with,方向舵
0.5m,co_occurs_with,0.4m
0.5m,co_occurs_with,尾翼
0.5m,co_occurs_with,弦长
0.5m,co_occurs_with,梯形
0.6%,co_occurs_with,传递
0.6%,co_occurs_with,力和力矩
0.6%,co_occurs_with,考虑
0.6%,co_occurs_with,连杆
0.7m,co_occurs_with,上翼
0.7m,co_occurs_with,下翼
0.7m,co_occurs_with,小于
0.7m,co_occurs_with,弦长
0.8m,co_occurs_with,活动机翼
0.8m,co_occurs_with,连接点
0.8m,co_occurs_with,连杆
0度,co_occurs_with,4度
0度,co_occurs_with,升力
0度,co_occurs_with,形式
0度,co_occurs_with,扭矩
0度,co_occurs_with,攻角
0度,co_occurs_with,机翼
0度,co_occurs_with,连杆
0时,co_occurs_with,157度
0时,co_occurs_with,公转角度
0时,co_occurs_with,单翼构型
0时,co_occurs_with,飞机
1%,co_occurs_with,全机
1%,co_occurs_with,单-双折叠翼变体飞行器
1%,co_occurs_with,受力
1%,co_occurs_with,变体
1%,co_occurs_with,同时
1%,co_occurs_with,尺寸
1%,co_occurs_with,最大起飞重量
1%,co_occurs_with,机翼尺寸
1%,co_occurs_with,计算
1%,co_occurs_with,连杆
1%,co_occurs_with,重量
1-2m,co_occurs_with,U型槽
1-2m,co_occurs_with,厚度
1-2m,co_occurs_with,机翼
1-2m,co_occurs_with,蒙皮
1.3kw,co_occurs_with,安装
1.3kw,co_occurs_with,无刷电机
1.3kw,co_occurs_with,机头
1.3kw,co_occurs_with,螺旋桨
1.3m,co_occurs_with,尾翼
1.3m,co_occurs_with,碳纤维
1.47m,co_occurs_with,0.3m
1.47m,co_occurs_with,使用
1.47m,co_occurs_with,机翼弦长
1.47m,co_occurs_with,翼型
1.4m,co_occurs_with,上翼
1.4m,co_occurs_with,下翼
1.4m,co_occurs_with,弦长
1.9kg,co_occurs_with,使用
1.9kg,co_occurs_with,方案
1.9kg,co_occurs_with,模块化
1.9kg,co_occurs_with,设计
10%,co_occurs_with,2000L
10%,co_occurs_with,RQ-4A
10%,co_occurs_with,升力
10%,co_occurs_with,升力面
10%,co_occurs_with,变体
10%,co_occurs_with,容积侵占
10%,co_occurs_with,控制
10%,co_occurs_with,改变
10%,co_occurs_with,效果
